%time,field.data
3658140000000,-0.0195550322533
3658140000000,-0.0206018090248
3658180000000,-0.0207278132439
3658180000000,-0.0210208296776
3658220000000,-0.0208002328873
3658220000000,-0.0201661586761
3658260000000,-0.0187898278236
3658260000000,-0.0199379920959
3658300000000,-0.0204968452454
3658300000000,-0.019758939743
3658340000000,-0.0191290974617
3658340000000,-0.0197217464447
3658380000000,-0.0192363858223
3658380000000,-0.0190052390099
3658420000000,-0.0191264748573
3658420000000,-0.0195106863976
3658460000000,-0.0194059610367
3658460000000,-0.0196249485016
3658500000000,-0.0179219841957
3658500000000,-0.017628967762
3658540000000,-0.0176727771759
3658540000000,-0.0180258750916
3658580000000,-0.0181544423103
3658580000000,-0.0165051817894
3658620000000,-0.0175397396088
3658620000000,-0.0161311626434
3658660000000,-0.0162795186043
3658660000000,-0.0161700844765
3658700000000,-0.0185193419456
3658700000000,-0.017875790596
3658740000000,-0.0170118808746
3658740000000,-0.0172873735428
3658780000000,-0.0164124965668
3658780000000,-0.0169358253479
3658820000000,-0.0159442424774
3658820000000,-0.0159017443657
3658860000000,-0.0162691473961
3658860000000,-0.0152086615562
3658860000000,-0.0145642161369
3658910000000,-0.0148640275002
3658910000000,-0.0154313445091
3658920000000,-0.0146743655205
3658940000000,-0.0145950913429
3658980000000,-0.0148392915726
3659020000000,-0.0138407945633
3659020000000,-0.0141141414642
3659060000000,-0.013984978199
3659060000000,-0.0134603977203
3659100000000,-0.0122561454773
3659100000000,-0.0129399895668
3659140000000,-0.0128015875816
3659140000000,-0.0129914283752
3659180000000,-0.0115695595741
3659180000000,-0.0122123360634
3659220000000,-0.0121292471886
3659220000000,-0.0125104784966
3659260000000,-0.0109807252884
3659260000000,-0.0103829503059
3659300000000,-0.00960391759872
3659300000000,-0.00926148891449
3659340000000,-0.00848031044006
3659340000000,-0.00847965478897
3659380000000,-0.00766676664352
3659380000000,-0.00774139165878
3659380000000,-0.00946950912476
3659420000000,-0.00754898786545
3659420000000,-0.00576531887054
3659460000000,-0.0056204199791
3659460000000,-0.00492590665817
3659500000000,-0.00565147399902
3659500000000,-0.00603759288788
3659540000000,-0.00638389587402
3659540000000,-0.0048748254776
3659580000000,-0.00477868318558
3659580000000,-0.00414282083511
3659620000000,-0.00357937812805
3659620000000,-0.00392091274261
3659660000000,-0.00287455320358
3659660000000,-0.00365686416626
3659700000000,-0.00255912542343
3659700000000,-0.00218868255615
3659740000000,-0.00185060501099
3659740000000,-0.00181233882904
3659780000000,-0.000675201416016
3659780000000,-0.00213712453842
3659820000000,-0.000998318195343
3659820000000,-0.00141870975494
3659860000000,-0.000246405601501
3659860000000,-0.000408351421356
3659900000000,-0.000501573085785
3659900000000,0.000734686851501
3659940000000,0.0015195608139
3659940000000,0.00184452533722
3659980000000,0.000887036323547
3659980000000,0.00227499008179
3660020000000,0.00195682048798
3660020000000,0.00166058540344
3660060000000,0.000619292259216
3660060000000,0.00150811672211
3660100000000,0.000151753425598
3660100000000,0.00132358074188
3660140000000,0.00196146965027
3660140000000,0.00311052799225
3660180000000,0.00272738933563
3660180000000,0.00258100032806
3660220000000,0.00141501426697
3660220000000,0.001380443573
3660260000000,-0.000295400619507
3660260000000,0.000749111175537
3660300000000,0.0010586977005
3660300000000,0.000798940658569
3660340000000,0.000217199325562
3660340000000,0.000256180763245
3660380000000,0.000501275062561
3660380000000,-0.000293970108032
3660420000000,-0.000111520290375
3660420000000,-0.000944912433624
3660460000000,-0.00112992525101
3660460000000,-0.000437498092651
